in:37 out:37 type:2 q:3658 itex:636 ptex:1305 mv:3812 misc:6448 fcode:2 bcode:1 mc-var:60412 var:229562 icount:33 skipcount:3329 hbits:55;
in:38 out:38 type:2 q:3658 itex:265 ptex:1193 mv:3879 misc:6256 fcode:2 bcode:1 mc-var:57094 var:234937 icount:15 skipcount:3346 hbits:55;
in:39 out:39 type:2 q:3658 itex:1280 ptex:1193 mv:3842 misc:6502 fcode:1 bcode:1 mc-var:57098 var:238574 icount:56 skipcount:3362 hbits:55;
in:40 out:40 type:2 q:3658 itex:490 ptex:1050 mv:3861 misc:6296 fcode:1 bcode:1 mc-var:58908 var:232250 icount:22 skipcount:3345 hbits:55;
in:41 out:41 type:2 q:3658 itex:573 ptex:1338 mv:3907 misc:6503 fcode:1 bcode:1 mc-var:58814 var:229349 icount:32 skipcount:3324 hbits:55;
in:42 out:42 type:2 q:3658 itex:463 ptex:1125 mv:3866 misc:6323 fcode:1 bcode:1 mc-var:55661 var:237573 icount:25 skipcount:3351 hbits:55;
in:43 out:43 type:2 q:3658 itex:609 ptex:980 mv:3964 misc:6384 fcode:1 bcode:1 mc-var:56925 var:239956 icount:31 skipcount:3337 hbits:55;
in:44 out:44 type:2 q:3658 itex:390 ptex:1073 mv:4100 misc:6230 fcode:1 bcode:1 mc-var:60215 var:246047 icount:11 skipcount:3338 hbits:55;
in:45 out:45 type:2 q:3658 itex:564 ptex:1452 mv:3938 misc:6327 fcode:1 bcode:1 mc-var:65716 var:250051 icount:28 skipcount:3354 hbits:55;
in:46 out:46 type:2 q:3658 itex:457 ptex:1409 mv:3737 misc:6190 fcode:1 bcode:1 mc-var:64310 var:267665 icount:21 skipcount:3379 hbits:55;
in:47 out:47 type:2 q:3658 itex:681 ptex:1235 mv:3755 misc:6218 fcode:1 bcode:1 mc-var:73930 var:280788 icount:33 skipcount:3394 hbits:55;
in:48 out:48 type:2 q:3658 itex:404 ptex:1122 mv:3688 misc:6155 fcode:1 bcode:1 mc-var:61322 var:281829 icount:20 skipcount:3376 hbits:55;
in:49 out:49 type:2 q:3658 itex:184 ptex:1211 mv:3656 misc:6014 fcode:1 bcode:1 mc-var:56795 var:285466 icount:11 skipcount:3411 hbits:55;
in:50 out:50 type:2 q:3658 itex:211 ptex:1212 mv:3688 misc:6057 fcode:1 bcode:1 mc-var:57685 var:295969 icount:12 skipcount:3400 hbits:56;
in:51 out:51 type:2 q:3658 itex:378 ptex:1174 mv:3663 misc:6122 fcode:1 bcode:1 mc-var:57958 var:303847 icount:22 skipcount:3399 hbits:55;
in:52 out:52 type:2 q:3658 itex:167 ptex:1244 mv:3629 misc:6009 fcode:1 bcode:1 mc-var:57079 var:307372 icount:10 skipcount:3408 hbits:55;
in:53 out:53 type:2 q:3658 itex:254 ptex:1206 mv:3618 misc:6059 fcode:1 bcode:1 mc-var:58105 var:310749 icount:15 skipcount:3414 hbits:55;
in:54 out:54 type:2 q:3658 itex:411 ptex:1297 mv:3613 misc:6176 fcode:1 bcode:1 mc-var:60724 var:305627 icount:24 skipcount:3386 hbits:55;
in:55 out:55 type:2 q:3658 itex:413 ptex:1390 mv:3606 misc:6192 fcode:1 bcode:1 mc-var:61893 var:299949 icount:24 skipcount:3389 hbits:55;
in:56 out:56 type:2 q:3658 itex:370 ptex:1354 mv:3420 misc:6129 fcode:1 bcode:1 mc-var:62953 var:300353 icount:22 skipcount:3411 hbits:55;
in:57 out:57 type:2 q:3658 itex:266 ptex:1448 mv:3537 misc:6118 fcode:1 bcode:1 mc-var:64173 var:303181 icount:16 skipcount:3404 hbits:55;
in:58 out:58 type:2 q:3658 itex:316 ptex:1741 mv:3523 misc:6245 fcode:1 bcode:1 mc-var:64129 var:310196 icount:19 skipcount:3392 hbits:55;
in:59 out:59 type:2 q:3658 itex:232 ptex:1601 mv:3209 misc:5951 fcode:1 bcode:1 mc-var:63151 var:314475 icount:14 skipcount:3462 hbits:55;
in:60 out:60 type:2 q:3658 itex:280 ptex:1665 mv:3312 misc:6104 fcode:1 bcode:1 mc-var:64931 var:331747 icount:16 skipcount:3427 hbits:55;
in:61 out:61 type:2 q:3658 itex:384 ptex:1611 mv:3008 misc:5974 fcode:1 bcode:1 mc-var:67822 var:337672 icount:17 skipcount:3472 hbits:55;
in:62 out:62 type:2 q:3658 itex:438 ptex:1600 mv:3172 misc:6111 fcode:1 bcode:1 mc-var:68630 var:321465 icount:20 skipcount:3435 hbits:55;
in:63 out:63 type:2 q:3658 itex:370 ptex:1672 mv:3022 misc:6129 fcode:1 bcode:1 mc-var:66581 var:312810 icount:21 skipcount:3439 hbits:55;
in:64 out:64 type:2 q:3658 itex:535 ptex:1564 mv:3078 misc:6176 fcode:1 bcode:1 mc-var:65626 var:302078 icount:31 skipcount:3437 hbits:55;
in:65 out:65 type:2 q:3658 itex:359 ptex:1687 mv:3202 misc:6137 fcode:1 bcode:1 mc-var:66770 var:292942 icount:20 skipcount:3423 hbits:55;
in:66 out:66 type:2 q:3658 itex:329 ptex:1611 mv:3256 misc:6109 fcode:1 bcode:1 mc-var:64907 var:284514 icount:17 skipcount:3425 hbits:55;
in:67 out:67 type:2 q:3658 itex:671 ptex:1620 mv:3099 misc:6259 fcode:1 bcode:1 mc-var:70176 var:285569 icount:33 skipcount:3413 hbits:55;
in:68 out:68 type:2 q:3658 itex:586 ptex:1826 mv:3318 misc:6311 fcode:1 bcode:1 mc-var:68875 var:279726 icount:31 skipcount:3400 hbits:55;
in:69 out:69 type:2 q:3658 itex:666 ptex:1499 mv:3327 misc:6357 fcode:1 bcode:1 mc-var:63104 var:267704 icount:38 skipcount:3395 hbits:55;
in:70 out:70 type:2 q:3658 itex:571 ptex:1271 mv:3519 misc:6296 fcode:1 bcode:1 mc-var:60239 var:263220 icount:34 skipcount:3394 hbits:55;
in:71 out:71 type:2 q:3658 itex:517 ptex:1391 mv:3353 misc:6220 fcode:1 bcode:1 mc-var:62004 var:271440 icount:30 skipcount:3407 hbits:55;
in:72 out:72 type:2 q:3658 itex:434 ptex:1434 mv:3439 misc:6182 fcode:1 bcode:1 mc-var:61146 var:271366 icount:25 skipcount:3420 hbits:55;
in:73 out:73 type:2 q:3658 itex:488 ptex:1579 mv:3419 misc:6339 fcode:1 bcode:1 mc-var:62438 var:260011 icount:28 skipcount:3392 hbits:55;
in:74 out:74 type:2 q:3658 itex:513 ptex:1506 mv:3562 misc:6268 fcode:1 bcode:1 mc-var:61912 var:256391 icount:28 skipcount:3399 hbits:55;
in:75 out:75 type:2 q:3658 itex:312 ptex:1213 mv:3529 misc:6082 fcode:1 bcode:1 mc-var:56799 var:259611 icount:17 skipcount:3409 hbits:56;
in:76 out:76 type:2 q:3658 itex:382 ptex:1307 mv:3445 misc:6075 fcode:1 bcode:1 mc-var:56735 var:250496 icount:22 skipcount:3423 hbits:55;
in:77 out:77 type:2 q:3658 itex:126 ptex:1355 mv:3579 misc:5949 fcode:1 bcode:1 mc-var:58703 var:242819 icount:7 skipcount:3424 hbits:55;
in:78 out:78 type:2 q:3658 itex:335 ptex:1501 mv:3499 misc:6194 fcode:1 bcode:1 mc-var:59851 var:231420 icount:18 skipcount:3388 hbits:55;
in:79 out:79 type:2 q:3658 itex:282 ptex:1392 mv:3454 misc:6065 fcode:1 bcode:1 mc-var:58892 var:228409 icount:16 skipcount:3422 hbits:55;
in:80 out:80 type:2 q:3658 itex:366 ptex:1265 mv:3560 misc:6130 fcode:1 bcode:1 mc-var:58356 var:226786 icount:21 skipcount:3400 hbits:55;
in:81 out:81 type:2 q:3658 itex:170 ptex:1224 mv:3757 misc:6050 fcode:1 bcode:1 mc-var:54925 var:231063 icount:10 skipcount:3402 hbits:55;
in:82 out:82 type:2 q:3658 itex:396 ptex:1109 mv:3572 misc:6148 fcode:1 bcode:1 mc-var:54657 var:237011 icount:21 skipcount:3399 hbits:55;
in:83 out:83 type:2 q:3658 itex:287 ptex:1293 mv:3566 misc:6103 fcode:1 bcode:1 mc-var:54284 var:241642 icount:16 skipcount:3410 hbits:55;
in:84 out:84 type:2 q:3658 itex:999 ptex:1070 mv:3716 misc:6200 fcode:1 bcode:1 mc-var:56715 var:235109 icount:35 skipcount:3403 hbits:55;
in:85 out:85 type:2 q:3658 itex:713 ptex:1230 mv:3744 misc:6130 fcode:1 bcode:1 mc-var:55777 var:241802 icount:27 skipcount:3406 hbits:55;
in:86 out:86 type:2 q:3658 itex:1268 ptex:1375 mv:3553 misc:6325 fcode:1 bcode:1 mc-var:61675 var:243610 icount:41 skipcount:3393 hbits:55;
in:87 out:87 type:2 q:3658 itex:464 ptex:1427 mv:3741 misc:6265 fcode:2 bcode:1 mc-var:60371 var:249457 icount:25 skipcount:3376 hbits:55;
in:88 out:88 type:2 q:3658 itex:176 ptex:1589 mv:3724 misc:6200 fcode:2 bcode:1 mc-var:60462 var:255389 icount:10 skipcount:3382 hbits:55;
in:89 out:89 type:2 q:3658 itex:435 ptex:1504 mv:3574 misc:6240 fcode:2 bcode:1 mc-var:64445 var:260786 icount:24 skipcount:3379 hbits:55;
in:90 out:90 type:2 q:3658 itex:377 ptex:1843 mv:3587 misc:6250 fcode:2 bcode:1 mc-var:65824 var:260397 icount:17 skipcount:3389 hbits:55;
in:91 out:91 type:2 q:3658 itex:706 ptex:1798 mv:3668 misc:6317 fcode:2 bcode:1 mc-var:72410 var:258874 icount:30 skipcount:3394 hbits:55;
in:92 out:92 type:2 q:3658 itex:583 ptex:1598 mv:3490 misc:6306 fcode:2 bcode:1 mc-var:69030 var:262204 icount:30 skipcount:3388 hbits:55;
in:93 out:93 type:2 q:3658 itex:464 ptex:1642 mv:3721 misc:6390 fcode:2 bcode:1 mc-var:63054 var:269195 icount:27 skipcount:3364 hbits:55;
in:94 out:94 type:2 q:3658 itex:569 ptex:1459 mv:3765 misc:6328 fcode:2 bcode:1 mc-var:65345 var:275772 icount:29 skipcount:3371 hbits:55;
in:95 out:95 type:2 q:3658 itex:676 ptex:1564 mv:3847 misc:6546 fcode:2 bcode:1 mc-var:66102 var:279916 icount:39 skipcount:3328 hbits:55;
in:96 out:96 type:2 q:3658 itex:878 ptex:1470 mv:3925 misc:6592 fcode:2 bcode:1 mc-var:73294 var:288748 icount:44 skipcount:3316 hbits:55;
in:97 out:97 type:2 q:3658 itex:599 ptex:1677 mv:4357 misc:6592 fcode:2 bcode:1 mc-var:81704 var:301426 icount:26 skipcount:3282 hbits:55;
in:98 out:98 type:2 q:3658 itex:761 ptex:1801 mv:4405 misc:6698 fcode:2 bcode:1 mc-var:91153 var:317027 icount:34 skipcount:3266 hbits:55;
in:99 out:99 type:2 q:3658 itex:725 ptex:1724 mv:4544 misc:6712 fcode:2 bcode:1 mc-var:88818 var:325205 icount:27 skipcount:3252 hbits:55;
in:100 out:100 type:2 q:3658 itex:609 ptex:1621 mv:4677 misc:6781 fcode:2 bcode:1 mc-var:76852 var:335732 icount:31 skipcount:3230 hbits:56;
in:101 out:101 type:2 q:3658 itex:1048 ptex:1739 mv:4606 misc:6976 fcode:2 bcode:1 mc-var:79033 var:344394 icount:56 skipcount:3229 hbits:55;
in:102 out:102 type:2 q:3658 itex:835 ptex:2089 mv:4819 misc:7034 fcode:2 bcode:1 mc-var:76061 var:337675 icount:47 skipcount:3216 hbits:55;
in:103 out:103 type:2 q:3658 itex:573 ptex:2197 mv:5051 misc:6916 fcode:2 bcode:1 mc-var:81283 var:330593 icount:27 skipcount:3212 hbits:55;
in:104 out:104 type:2 q:3658 itex:865 ptex:2372 mv:4914 misc:7178 fcode:2 bcode:1 mc-var:80729 var:341282 icount:47 skipcount:3183 hbits:55;
in:105 out:105 type:2 q:3658 itex:808 ptex:2383 mv:4869 misc:7021 fcode:2 bcode:1 mc-var:88681 var:351250 icount:36 skipcount:3204 hbits:55;
in:106 out:106 type:2 q:3658 itex:901 ptex:2569 mv:5011 misc:7120 fcode:2 bcode:1 mc-var:91791 var:368339 icount:42 skipcount:3190 hbits:55;
in:107 out:107 type:2 q:3658 itex:526 ptex:2337 mv:5002 misc:7016 fcode:2 bcode:1 mc-var:93049 var:387337 icount:23 skipcount:3175 hbits:55;
in:108 out:108 type:2 q:3658 itex:1130 ptex:2396 mv:5086 misc:7365 fcode:2 bcode:1 mc-var:90710 var:404191 icount:57 skipcount:3149 hbits:55;
in:109 out:109 type:2 q:3658 itex:689 ptex:2347 mv:5068 misc:7145 fcode:2 bcode:1 mc-var:91304 var:414881 icount:36 skipcount:3179 hbits:55;
in:110 out:110 type:2 q:3658 itex:704 ptex:2172 mv:5223 misc:7174 fcode:2 bcode:1 mc-var:90971 var:406017 icount:37 skipcount:3154 hbits:55;
in:111 out:111 type:2 q:3658 itex:488 ptex:2531 mv:5288 misc:7214 fcode:2 bcode:1 mc-var:91533 var:399105 icount:25 skipcount:3148 hbits:55;
in:112 out:112 type:2 q:3658 itex:698 ptex:2667 mv:5520 misc:7420 fcode:2 bcode:1 mc-var:93143 var:416331 icount:38 skipcount:3103 hbits:55;
in:113 out:113 type:2 q:3658 itex:1763 ptex:2301 mv:5497 misc:7472 fcode:1 bcode:1 mc-var:96917 var:445912 icount:55 skipcount:3108 hbits:55;
in:114 out:114 type:2 q:3658 itex:1456 ptex:2647 mv:5422 misc:7548 fcode:1 bcode:1 mc-var:111763 var:459331 icount:46 skipcount:3077 hbits:55;
in:115 out:115 type:2 q:3658 itex:1438 ptex:2761 mv:5524 misc:7606 fcode:1 bcode:1 mc-var:105103 var:466767 icount:48 skipcount:3066 hbits:55;
in:116 out:116 type:2 q:3658 itex:660 ptex:2397 mv:5764 misc:7404 fcode:1 bcode:1 mc-var:97582 var:486558 icount:27 skipcount:3068 hbits:55;
in:117 out:117 type:2 q:3658 itex:743 ptex:2427 mv:5788 misc:7515 fcode:1 bcode:1 mc-var:96228 var:494519 icount:36 skipcount:3065 hbits:55;
in:118 out:118 type:2 q:3658 itex:657 ptex:2555 mv:5765 misc:7560 fcode:1 bcode:1 mc-var:98252 var:486026 icount:33 skipcount:3042 hbits:55;
in:119 out:119 type:2 q:3658 itex:714 ptex:2376 mv:5718 misc:7537 fcode:1 bcode:1 mc-var:97435 var:488441 icount:39 skipcount:3040 hbits:55;
in:120 out:120 type:2 q:3658 itex:724 ptex:2243 mv:5499 misc:7455 fcode:1 bcode:1 mc-var:94208 var:498853 icount:37 skipcount:3068 hbits:55;
in:121 out:121 type:2 q:3658 itex:361 ptex:2347 mv:5668 misc:7393 fcode:1 bcode:1 mc-var:91611 var:483672 icount:20 skipcount:3056 hbits:55;
in:122 out:122 type:2 q:3658 itex:568 ptex:2292 mv:5537 misc:7420 fcode:1 bcode:1 mc-var:94994 var:478063 icount:28 skipcount:3056 hbits:55;
in:123 out:123 type:2 q:3658 itex:563 ptex:2372 mv:5506 misc:7416 fcode:1 bcode:1 mc-var:95657 var:465138 icount:23 skipcount:3067 hbits:55;
in:124 out:124 type:2 q:3658 itex:421 ptex:2248 mv:5504 misc:7340 fcode:1 bcode:1 mc-var:91691 var:467321 icount:23 skipcount:3076 hbits:55;
in:124 out:124 type:2 q:3658 itex:421 ptex:2248 mv:5504 misc:7340 fcode:1 bcode:1 mc-var:91691 var:467321 icount:23 skipcount:3076 hbits:55;
